t,d,v,a,l,sens_slope,mk_p,mk_S,tendencia,n_anios_val,NDVI_2017,NDVI_2018,NDVI_2019,NDVI_2020,NDVI_2021,NDVI_2022,NDVI_2023,NDVI_2024
178,rocha,1,0,585,0.008192,0.13313,11,estable,7,,-0.03811,0.01737,-0.02586,-0.07282,0.04195,0.03699,0.04478
179,rocha,1,1,1850,0.012743,0.07151,13,estable,7,,-0.06018,-0.00208,-0.00911,-0.04588,0.03615,0.03028,0.03805
181,rocha,3,0,1035,0.00446,0.76389,3,estable,7,,-0.00301,0.03669,0.02924,0.01037,0.05888,-0.00471,0.05085
182,rocha,1,0,396,0.003427,0.36752,7,estable,7,,0.03225,-0.04127,0.04565,-0.00557,0.04883,0.04939,0.02543
183,rocha,3,0,1096,0.016793,0.07151,13,estable,7,,-0.05986,-0.05075,0.02559,-0.01821,0.04126,0.0214,0.0409
184,rocha,1,0,13653,0.002196,0.36752,7,estable,7,,0.02793,0.02772,0.0439,0.04119,0.04508,0.04506,0.04111
185,rocha,3,0,1063,0.001542,0.54801,5,estable,7,,0.05133,0.07479,0.06564,0.05856,0.08178,0.05904,0.0662
186,rocha,1,0,3633,0.000129,0.22956,9,estable,7,,0.04335,0.03536,0.04316,0.03589,0.04363,0.04331,0.04368
187,rocha,3,0,833,0.009166,0.13313,11,estable,7,,-0.01799,0.0189,0.02807,0.00438,0.05319,0.05161,0.04332
188,rocha,1,0,1759,0.002574,0.22956,9,estable,7,,0.02793,0.02838,0.04364,0.02841,0.04373,0.04347,0.04337
189,rocha,3,0,485,0.012183,0.22956,9,estable,7,,-0.08646,-0.0184,-0.0222,-0.05983,0.00574,-0.02554,0.02895
190,rocha,1,0,926,0.001631,0.22956,9,estable,7,,0.04307,0.02872,0.05187,0.04388,0.04426,0.05123,0.05079
191,rocha,3,0,414,-0.001277,0.76389,-3,estable,7,,0.01108,0.01839,0.04476,-0.0512,0.01313,-0.00114,0.01201
192,rocha,1,0,3997,0.000612,0.54801,5,estable,7,,0.04357,0.0355,0.05092,0.04364,0.05082,0.05143,0.04332
193,rocha,3,0,778,0.000507,0.76389,3,estable,7,,0.05765,0.07453,0.02945,0.04231,0.07404,0.05858,0.06069
194,rocha,1,0,4309,0.006374,0.54801,5,estable,7,,0.0115,-0.00425,-0.06634,-0.04397,0.04357,0.04332,0.02762
195,rocha,1,0,348,-0.00032,1.0,-1,estable,7,,0.05091,0.05054,0.04308,0.04454,0.05266,0.04869,0.04894
196,rocha,3,0,2937,0.001304,0.22956,9,estable,7,,0.03543,0.03555,0.04116,0.04113,0.04098,0.04507,0.04101
197,rocha,1,0,1148,0.001244,0.36752,7,estable,7,,0.04125,0.0452,0.04518,0.05272,0.04499,0.05262,0.04871
198,rocha,3,0,1715,0.002418,0.0355,15,estable,7,,0.04267,0.03501,0.04317,0.04355,0.04302,0.05087,0.05284
199,rocha,1,0,7286,0.001913,0.0355,15,estable,7,,0.03726,0.03713,0.04117,0.0373,0.04491,0.04896,0.04497
200,rocha,3,0,2293,-8e-06,1.0,-1,estable,7,,0.05825,0.05001,0.0582,0.05656,0.05643,0.0582,0.05786
201,rocha,1,0,207,0.00068,1.0,1,estable,7,,0.04431,-0.13443,-0.10975,-0.00422,0.04019,-0.1077,-0.06863
202,rocha,1,0,328,-0.000488,0.54801,-5,estable,7,,0.0449,0.02925,0.04209,0.04406,0.03817,0.03253,0.04198
203,rocha,1,0,3037,0.013323,0.36752,7,estable,7,,-0.31435,-0.24372,-0.24311,-0.19734,-0.20113,-0.24773,-0.22064
204,rocha,1,0,5041,-0.016027,0.00937,-22,degradacion,8,0.05087,0.04116,0.03591,0.01746,-0.04856,-0.05294,-0.07577,-0.0292
205,rocha,1,0,1493,-0.016222,0.10776,-14,estable,8,0.03702,0.00946,-0.0094,0.00279,-0.19268,-0.03378,0.00946,-0.17655
206,rocha,3,0,1099,-0.003961,0.53619,-6,estable,8,0.04979,-0.03686,-0.04561,-0.08051,-0.04171,-0.04072,-0.08387,0.00565
207,rocha,1,0,999,0.009187,0.53619,6,estable,8,-0.1677,-0.27076,-0.33165,-0.21712,-0.1779,-0.15403,-0.18855,-0.18172
208,rocha,3,0,945,-0.017503,0.53619,-6,estable,8,-0.39268,-0.17806,-0.23262,-0.25592,-0.33009,-0.31453,-0.30265,-0.32592
209,rocha,1,0,5061,-0.00141,0.00198,-26,estable,8,0.06661,0.05911,0.05905,0.05687,0.05302,0.0568,0.05297,0.05283
210,rocha,3,0,2214,-0.002469,0.22956,-9,estable,7,0.14519,,0.12903,0.121,0.11356,0.12848,0.11359,0.12847
211,rocha,1,0,6430,0.000203,0.76389,3,estable,7,0.06634,,0.06675,0.07415,0.07413,0.07413,0.07401,0.07393
212,rocha,1,0,1010,-0.000152,1.0,-1,estable,7,0.0723,,0.06077,0.06942,0.06501,0.06081,0.07139,0.06548
213,rocha,3,0,624,0.000281,0.36752,7,estable,7,0.06616,,0.05066,0.05812,0.0584,0.05893,0.05932,0.05922
214,rocha,1,1,176,0.007684,0.54801,5,estable,7,0.06506,,-0.0684,0.0004,0.05511,0.04157,0.06046,0.05693
215,rocha,3,0,1042,-0.004541,0.36752,-7,estable,7,0.02774,,-0.00434,-0.00232,0.00958,0.02097,-0.0689,-0.00606
216,rocha,1,0,1124,-0.008066,0.13313,-11,estable,7,-0.0186,,-0.00329,0.00234,-0.01348,-0.02037,-0.0852,-0.04362
217,rocha,3,0,1813,-0.004408,0.76389,-3,estable,7,0.06639,,0.02696,0.01384,0.02147,0.0275,-0.02927,0.03554
218,rocha,1,0,1220,0.000128,0.54801,5,estable,7,0.06671,,0.05107,0.06709,0.06407,0.05919,0.06682,0.06699
219,rocha,3,0,1488,-0.002577,0.36752,-7,estable,7,0.10592,,0.08271,0.08779,0.08445,0.08264,0.02883,0.09005
220,rocha,3,0,774,0.000444,0.76389,3,estable,7,0.10545,,0.0819,0.09058,0.08971,0.08937,0.0906,0.09663
221,rocha,1,0,814,0.019534,0.01626,17,mejora,7,-0.08377,,-0.13469,0.02045,0.02861,0.04862,0.06088,0.05297
222,rocha,1,0,568,0.001057,1.0,1,estable,7,-0.23274,,-0.2681,-0.22957,-0.16349,-0.26368,-0.28349,-0.17755
223,rocha,2,0,1176,-0.009809,0.36752,-7,estable,7,-0.12734,,-0.13425,-0.17483,-0.17764,-0.2439,-0.19725,-0.08699
224,rocha,1,0,816,-0.002216,0.01626,-17,estable,7,0.08032,,0.07638,0.07619,0.07235,0.07245,0.06108,0.0648
225,rocha,1,0,1558,-0.001911,0.07151,-13,estable,7,0.07611,,0.06499,0.07644,0.07128,0.06869,0.06464,0.06461
226,maldonado,1,0,1278,0.019269,0.01626,17,mejora,7,-0.07878,,-0.08844,-0.0639,-0.06793,-0.04496,-0.00609,0.04194
227,maldonado,1,0,750,-0.002187,0.01626,-17,estable,7,0.06822,,0.06149,0.06751,0.05775,0.057,0.05274,0.05692
228,maldonado,3,0,2076,-0.000748,1.0,-1,estable,7,0.08196,,0.05126,0.05201,0.05933,0.05859,0.02656,0.06555
229,maldonado,2,0,2307,0.030617,0.06349,16,estable,8,-0.1936,-0.1194,-0.001,-0.01034,-0.01008,0.06075,-0.01401,0.06842
230,maldonado,1,0,1410,-0.000925,0.06349,-16,estable,8,0.07636,0.07993,0.07622,0.08105,0.07328,0.0723,0.07139,0.07232
231,maldonado,3,0,1676,-7e-06,1.0,0,estable,8,0.01897,0.08256,0.07451,0.07485,0.06688,0.07454,0.06752,0.07451
232,maldonado,3,0,311,-0.001687,0.22956,-9,estable,7,,0.09222,0.08041,0.09162,0.08827,0.07632,0.08039,0.0821
233,maldonado,3,0,239,-7.5e-05,0.54801,-5,estable,7,,0.08451,0.08372,0.09185,0.08423,0.08449,0.08045,0.08434
235,maldonado,3,0,2345,-0.00211,0.26551,-10,estable,8,0.11308,0.07411,0.06664,0.06682,0.06635,0.07398,0.05951,0.07411
236,maldonado,3,0,6516,-0.007605,0.10776,-14,estable,8,0.10128,0.07405,0.05107,0.059,0.06621,0.04331,0.0274,0.06614
237,maldonado,3,0,2131,-0.006831,0.17355,-12,estable,8,0.23057,0.22079,0.21755,0.20912,0.22487,0.18973,0.15398,0.22271
238,maldonado,3,0,551,-0.000806,0.53619,-6,estable,8,0.13882,0.10343,0.10326,0.09957,0.11136,0.09946,0.09975,0.13127
239,maldonado,3,0,3488,-0.004914,0.17355,-12,estable,8,0.18411,0.1917,0.17566,0.16816,0.17578,0.1604,0.1523,0.18353
240,maldonado,1,0,528,0.013957,0.06349,16,estable,8,-0.14427,-0.01018,0.05694,0.07236,0.05651,0.04063,0.06036,0.07266
241,maldonado,3,0,3121,0.013159,0.06349,16,estable,8,-0.05693,-0.0219,0.02932,0.01799,0.03354,0.00929,0.02915,0.05655
242,maldonado,3,0,1754,-0.007975,0.10776,-14,estable,8,0.20082,0.18408,0.17515,0.15277,0.18419,0.15282,0.13724,0.15979
243,maldonado,3,0,1550,-0.001255,0.90154,-2,estable,8,0.18342,0.16178,0.13714,0.13107,0.16616,0.15415,0.13472,0.18436
244,maldonado,3,0,4137,-9.3e-05,0.53619,-6,estable,8,0.08964,0.05838,0.05088,0.05884,0.05873,0.05875,0.05854,0.05845
246,maldonado,3,0,1003,-0.00948,0.26551,-10,estable,8,0.10547,0.08993,-0.00554,0.01055,0.08226,0.01948,-0.01979,0.04355
247,canelones,1,0,636,9.4e-05,0.71052,4,estable,8,0.12709,0.04887,0.05288,0.04838,0.04918,0.05288,0.05287,0.05331
248,canelones,1,0,881,-0.004813,0.90154,-2,estable,8,0.12254,0.03452,-0.00453,0.00355,0.01489,-0.05197,0.01911,0.04362
249,canelones,3,0,730,-0.003714,0.38648,-8,estable,8,0.11395,0.05791,0.03548,0.04988,0.05077,0.04426,0.03436,0.05862
250,canelones,1,0,1538,-0.000136,0.10776,-14,estable,8,0.12192,0.05165,0.05103,0.05929,0.05148,0.05096,0.05128,0.05124
251,canelones,3,0,88,-0.000459,1.0,0,estable,8,0.10879,0.04535,0.0372,0.05749,0.04783,0.04845,0.04581,0.04988
252,canelones,3,0,233,-0.000408,0.17355,-12,estable,8,0.12659,0.05835,0.05086,0.06451,0.05639,0.05661,0.05645,0.05637
253,canelones,3,0,236,-0.001728,0.38648,-8,estable,8,0.12688,0.05266,0.04576,0.06134,0.05698,0.05308,0.05644,0.05152
254,canelones,1,0,460,-0.002945,0.03545,-18,degradacion,8,0.12689,0.06072,0.06075,0.06837,0.05645,0.06064,0.0569,0.05275
255,canelones,3,0,393,-0.000266,0.26551,-10,estable,8,0.12325,0.05847,0.05173,0.05894,0.05807,0.05217,0.05829,0.05769
256,canelones,2,0,889,-0.00186,0.17355,-12,estable,8,0.11913,0.05839,0.04307,0.06069,0.05303,0.0508,0.05297,0.05114
257,canelones,2,0,1435,-0.003881,0.17355,-12,estable,8,0.12916,0.0588,0.06679,0.07446,0.05903,0.06664,0.06054,0.05665
258,canelones,3,0,1107,-0.003062,0.90154,-2,estable,8,0.06538,-0.12114,-0.15443,-0.12064,-0.0742,-0.04305,-0.1039,-0.13554
259,canelones,2,0,862,-0.000207,0.71052,-4,estable,8,0.14457,0.06616,0.06598,0.07371,0.0749,0.07388,0.07365,0.06705
260,canelones,1,0,1370,-0.001346,0.71052,-4,estable,8,0.13883,0.0724,0.067,0.07609,0.07422,0.07221,0.06826,0.08011
261,montevideo,3,0,336,0.002072,0.53619,6,estable,8,0.18856,0.16216,0.20042,0.16628,0.1969,0.18101,0.18653,0.19758
262,montevideo,3,0,312,-0.001488,0.90154,-2,estable,8,0.11989,0.06819,0.07174,0.05351,0.11208,0.06409,0.09466,0.09111
263,montevideo,3,0,960,0.00135,0.90154,2,estable,8,0.17709,0.145,0.15926,0.13659,0.17647,0.15172,0.16696,0.16798
264,montevideo,3,0,185,-0.000905,0.71052,-4,estable,8,0.11304,0.074,0.06645,0.06027,0.07559,0.06554,0.06663,0.07459
265,montevideo,1,0,922,-0.001688,0.53619,-6,estable,8,0.12129,0.07466,0.05907,0.06825,0.06034,0.06422,0.0645,0.06648
266,montevideo,1,0,154,-0.00119,0.26551,-10,estable,8,0.19032,0.15876,0.15433,0.12934,0.16521,0.1542,0.15298,0.15739
267,montevideo,3,0,309,-0.000357,1.0,0,estable,8,0.20642,0.13865,0.18472,0.14,0.19777,0.16726,0.16643,0.18527
268,montevideo,3,0,1032,0.006729,0.53619,6,estable,8,0.22298,0.12874,0.20731,0.14688,0.25459,0.22398,0.23904,0.19113
269,montevideo,3,0,2334,0.001915,0.71052,4,estable,8,0.03479,-0.01073,0.00277,-0.01988,0.06616,0.02734,0.04393,0.0031
270,montevideo,3,0,6919,0.000787,0.90154,2,estable,8,0.09692,0.05091,0.07417,0.00362,0.12886,0.0746,0.1055,0.06635
271,montevideo,3,0,10309,2.3e-05,0.90154,2,estable,8,0.02716,0.0117,-0.00413,0.0117,0.01967,0.01989,0.01973,0.01181
272,montevideo,1,0,1731,-0.002498,0.53619,-6,estable,8,0.06646,0.07438,0.03514,0.04514,0.04277,0.05112,0.05067,0.04361
273,montevideo,3,0,2113,-0.001722,0.26551,-10,estable,8,0.05105,0.03478,0.01229,0.03368,0.03731,0.02722,0.03333,0.02746
274,montevideo,3,0,2957,-0.00588,0.71052,-4,estable,8,0.31595,0.26141,0.27633,0.20745,0.2771,0.24558,0.23026,0.27723
275,montevideo,3,0,3333,0.005469,0.26551,10,estable,8,0.08929,0.05927,0.0815,0.06652,0.12198,0.13642,0.12063,0.08938
276,montevideo,3,0,1398,0.001903,0.53619,6,estable,8,0.08197,0.05913,0.07451,0.01978,0.08916,0.09819,0.08254,0.0817
277,montevideo,1,0,800,-0.000163,1.0,0,estable,8,0.37834,0.39138,0.43188,0.41783,0.37124,0.35708,0.37252,0.44881
278,montevideo,3,0,112,0.017419,0.38648,8,estable,8,0.16874,0.05604,0.10652,-0.01807,0.24445,0.24829,0.23449,0.22423
279,montevideo,1,0,244,0.013598,0.06349,16,estable,8,0.17515,0.12937,0.20261,0.16764,0.22972,0.22749,0.22097,0.2596
280,montevideo,3,0,2699,0.00925,0.26551,10,estable,8,0.13742,0.08195,0.12077,0.05884,0.16792,0.19095,0.18418,0.14418
281,montevideo,3,0,256,0.000342,1.0,0,estable,8,0.09907,0.04934,0.0501,0.01151,0.09667,0.09048,0.09651,0.08225
282,montevideo,3,0,715,0.00181,0.26551,10,estable,8,0.08212,0.07487,0.06676,0.05901,0.08402,0.07585,0.08289,0.09006
283,montevideo,1,0,233,0.006298,0.26551,10,estable,8,0.323,0.24022,0.34553,0.25586,0.28343,0.28686,0.28741,0.35643
284,montevideo,3,0,265,0.00385,0.38648,8,estable,8,0.13443,0.12091,0.13568,0.11925,0.13076,0.15404,0.13058,0.16594
285,montevideo,3,0,6542,0.010293,0.26551,10,estable,8,0.24679,0.19943,0.28509,0.22281,0.23018,0.24601,0.25382,0.26969
286,montevideo,1,0,233,0.001008,0.17355,12,estable,8,0.09028,0.08753,0.09946,0.07316,0.0917,0.09188,0.09586,0.0966
287,montevideo,3,0,349,0.000535,0.71052,4,estable,8,0.18229,0.183,0.20651,0.17106,0.20881,0.16771,0.18446,0.20126
288,montevideo,1,0,36,-0.010707,0.38648,-8,estable,8,0.30048,0.30625,0.30741,0.31032,0.26007,0.21386,0.2326,0.26304
289,montevideo,3,0,2645,0.011376,0.10776,14,estable,8,0.08186,0.08206,0.09886,0.08133,0.14449,0.1368,0.15243,0.12911
290,montevideo,1,0,66,0.001173,0.90154,2,estable,8,0.13641,0.12961,0.12769,0.12886,0.15033,0.12346,0.14556,0.14468
291,montevideo,1,0,336,0.004421,0.71052,4,estable,8,0.1983,0.11369,0.15214,0.10587,0.12888,0.13679,0.13732,0.17524
292,montevideo,3,0,2676,-0.003977,0.90154,-2,estable,8,0.41188,0.31756,0.39489,0.35538,0.32425,0.32456,0.332,0.37877
293,montevideo,1,0,233,0.003245,0.00443,24,mejora,8,0.09631,0.11523,0.11539,0.11125,0.12075,0.12078,0.12296,0.13091
294,montevideo,3,0,799,-0.00235,0.53619,-6,estable,8,0.35572,0.30944,0.35331,0.34739,0.31644,0.32492,0.33963,0.33845
295,montevideo,1,0,350,0.000144,0.71052,4,estable,8,0.08195,0.09724,0.1062,0.08998,0.08128,0.09032,0.09763,0.09059
296,montevideo,3,0,904,-0.010753,0.17355,-12,estable,8,0.52672,0.4565,0.50287,0.44927,0.38741,0.4182,0.41023,0.49629
297,montevideo,3,0,867,0.00463,0.17355,12,estable,8,0.10488,0.12906,0.12832,0.11339,0.1213,0.12129,0.13582,0.16008
298,montevideo,3,0,339,-0.005603,0.10776,-14,estable,8,0.38671,0.3472,0.37032,0.35386,0.33123,0.32506,0.33943,0.34701
299,montevideo,1,0,188,0.002661,0.17355,12,estable,8,0.09664,0.09759,0.09087,0.0896,0.0982,0.09719,0.11621,0.11435
300,montevideo,3,0,9054,-0.011266,0.17355,-12,estable,8,0.43397,0.40235,0.44142,0.39426,0.34032,0.34727,0.35504,0.39422
301,montevideo,1,0,1628,-0.028234,0.10776,-14,estable,8,0.62115,0.58241,0.60595,0.52698,0.39461,0.31607,0.44864,0.56606
302,san josé,1,0,445,-0.019008,0.10776,-14,estable,8,0.58774,0.63584,0.59603,0.5813,0.44237,0.46177,0.4557,0.53979
303,san josé,1,0,1754,0.00329,0.10776,14,estable,8,0.0898,0.07449,0.08173,0.08252,0.0897,0.09792,0.10536,0.08977
304,san josé,2,0,3697,-0.001493,0.38648,-8,estable,8,0.11325,0.09803,0.0899,0.05661,0.0824,0.08987,0.08976,0.09004
305,san josé,1,0,1514,-0.014443,0.10776,-14,estable,8,-0.02759,-0.0202,-0.07565,-0.20542,-0.10512,-0.08266,-0.13634,-0.10512
306,san josé,2,0,1849,0.003746,0.53619,6,estable,8,0.09008,0.0601,0.06711,-0.00498,0.0825,0.07494,0.08224,0.08993
307,san josé,1,0,3018,-3.7e-05,0.71052,-4,estable,8,0.13676,0.11328,0.11328,0.11329,0.12114,0.10527,0.12868,0.11313
308,san josé,2,0,7689,-0.00069,0.26551,-10,estable,8,0.11326,0.09765,0.09764,0.10554,0.09766,0.08956,0.10536,0.09755
309,san josé,1,0,844,0.002432,0.90154,2,estable,8,-0.47099,-0.29109,-0.32253,-0.27586,-0.31909,-0.39596,-0.38825,-0.30682
310,san josé,2,0,3011,8.6e-05,1.0,0,estable,8,0.08262,0.02794,0.05132,-0.0589,0.0517,0.06722,0.07497,0.02784
311,san josé,1,0,759,-0.000118,0.53619,-6,estable,8,0.08995,0.07471,0.06658,0.08251,0.07439,0.06742,0.07432,0.08198
312,san josé,2,0,402,-0.005815,0.26551,-10,estable,8,0.11391,0.02686,0.06843,-0.04397,0.01871,0.01034,0.07476,0.00339
313,san josé,2,0,1681,-0.02189,0.26551,-10,estable,8,0.11337,-0.11483,-0.07415,-0.20744,-0.15883,-0.09715,-0.09225,-0.23172
314,san josé,1,0,5587,-3.4e-05,1.0,0,estable,8,0.12122,0.08245,0.08236,0.09037,0.08195,0.08249,0.08972,0.09006
315,san josé,1,0,1500,0.003364,0.10776,14,estable,8,0.12101,0.10553,0.10568,0.1206,0.11285,0.12057,0.12124,0.13627
316,san josé,2,0,3041,-0.000346,0.71052,-4,estable,8,0.10562,0.08237,0.08181,0.08252,0.07422,0.07468,0.08215,0.08973
317,san josé,1,0,7360,-4.2e-05,1.0,0,estable,8,0.16801,0.1446,0.12826,0.13646,0.13647,0.13626,0.13665,0.15238
318,san josé,2,0,8814,-6.7e-05,0.71052,-4,estable,8,0.14443,0.09011,0.0899,0.0829,0.08976,0.0897,0.10537,0.10502
319,san josé,1,0,14150,0.000115,1.0,0,estable,8,0.12853,0.09763,0.07435,0.04299,0.08198,0.08222,0.10546,0.09758
320,san josé,2,0,5289,-0.007654,0.38648,-8,estable,8,0.13643,0.12899,0.07459,-0.05002,0.05081,0.05096,0.10528,0.06676
321,colonia,1,0,3268,-0.001755,0.90154,-2,estable,8,0.15203,0.12877,0.0972,0.10515,0.10477,0.10516,0.1131,0.10534
322,colonia,1,0,1715,-0.000201,0.90154,-2,estable,8,0.13647,0.11338,0.0976,0.09795,0.09809,0.09777,0.10492,0.1057
323,colonia,1,0,14241,0.009486,0.53619,6,estable,8,0.12902,0.00399,0.03526,-0.02739,0.05105,0.04262,0.08199,0.08183
324,colonia,2,0,986,0.007792,0.06349,16,estable,8,0.559,0.81642,0.85536,0.84845,0.86355,0.86347,0.82482,0.86485
325,colonia,2,0,587,0.000963,0.38648,8,estable,8,0.16769,0.1213,0.11295,0.11337,0.12192,0.12831,0.12901,0.12859
326,colonia,1,0,6715,0.005142,0.53619,6,estable,8,0.12132,-0.04313,-0.02009,-0.04333,0.00421,0.00373,0.01211,0.01158
327,colonia,3,0,3952,0.02734,0.01874,20,mejora,8,0.42579,0.52754,0.59813,0.58994,0.59848,0.66061,0.59,0.69141
328,colonia,1,0,1515,0.022146,0.00443,24,mejora,8,0.66111,0.7535,0.78437,0.79308,0.82358,0.84717,0.81615,0.85617
329,colonia,2,0,1518,-0.000263,0.71052,-4,estable,8,0.16759,0.10567,0.10524,0.10585,0.09772,0.09763,0.11318,0.11309
330,colonia,1,0,1684,-3.8e-05,1.0,0,estable,8,0.18294,0.12103,0.1125,0.11297,0.11305,0.11297,0.12903,0.11353
331,colonia,1,0,1232,0.013431,0.06349,16,estable,8,0.48944,0.55079,0.60557,0.53546,0.55881,0.59952,0.57384,0.62085
332,colonia,1,0,2076,-5.7e-05,1.0,0,estable,8,0.18343,0.14432,0.12879,0.13687,0.13667,0.13652,0.14452,0.15142
333,colonia,3,0,176,0.004845,0.26551,10,estable,8,0.30025,0.32347,0.35376,0.32996,0.2985,0.36034,0.30824,0.36998
334,colonia,3,0,61,0.003504,0.53619,6,estable,8,0.26736,0.28589,0.29974,0.27734,0.25486,0.30061,0.26243,0.31567
335,colonia,3,0,352,0.012657,0.53619,6,estable,8,0.51824,0.64527,0.64505,0.62185,0.60507,0.68522,0.58978,0.71501
336,colonia,1,0,4132,-0.000349,0.38648,-8,estable,8,0.18319,0.12828,0.11297,0.12076,0.12087,0.12104,0.12052,0.12086
337,colonia,3,0,1413,0.00181,0.90154,2,estable,8,0.35476,0.35611,0.37996,0.32489,0.33114,0.37072,0.34851,0.37065
338,colonia,1,0,3852,-0.000578,0.17355,-12,estable,8,0.1525,0.09755,0.09023,0.09003,0.08939,0.09758,0.09706,0.09002
339,colonia,3,0,2300,0.005846,0.26551,10,estable,8,0.38665,0.41741,0.48772,0.40407,0.40994,0.45617,0.4096,0.48819
340,colonia,1,0,2332,3.7e-05,1.0,0,estable,8,0.18373,0.11363,0.09762,0.0977,0.10543,0.10528,0.12129,0.11362
341,colonia,3,0,1365,0.00473,0.17355,12,estable,8,0.3554,0.35513,0.40158,0.34662,0.37147,0.40307,0.36257,0.41135
342,colonia,1,0,329,8.5e-05,1.0,0,estable,8,0.12124,0.07483,0.07428,0.06612,0.08234,0.07481,0.08148,0.08228
343,colonia,3,0,923,-0.004867,0.71052,-4,estable,8,0.35451,0.3716,0.43395,0.36331,0.32363,0.33125,0.32401,0.37248
344,colonia,1,0,71,-0.001997,0.38648,-8,estable,8,0.20251,0.15202,0.12129,0.13568,0.159,0.15178,0.15174,0.14585
345,colonia,3,0,315,0.008711,0.17355,12,estable,8,0.47408,0.53388,0.55093,0.49577,0.51157,0.51187,0.53364,0.55708
346,colonia,3,0,4001,0.002597,0.53619,6,estable,8,0.19155,0.1369,0.18429,0.13755,0.15257,0.15957,0.16016,0.19129
347,colonia,1,0,3466,0.016502,0.06349,16,estable,8,0.37891,0.41048,0.46514,0.41113,0.40191,0.47392,0.44942,0.55086
348,colonia,2,0,7492,0.000247,0.53619,6,estable,8,0.22234,0.19888,0.19899,0.17559,0.15271,0.19979,0.21486,0.22309
349,colonia,2,0,5798,0.003033,0.53619,6,estable,8,0.1839,0.1448,0.16711,0.15213,0.15292,0.19927,0.18319,0.18207
350,colonia,1,0,3169,0.002145,0.90154,2,estable,8,0.14395,0.11354,0.08142,0.09754,0.1058,0.12865,0.12862,0.12118
351,colonia,1,0,13770,0.007322,0.53619,6,estable,8,-0.18405,-0.23069,-0.26158,-0.19187,-0.29313,-0.1755,-0.23031,-0.13626
352,colonia,2,0,13080,0.044628,0.00198,26,mejora,8,0.37898,0.51166,0.55889,0.6051,0.61313,0.70752,0.69921,0.71439
353,colonia,1,0,5457,0.07546,0.00084,28,mejora,8,0.17543,0.24737,0.2923,0.37067,0.43299,0.62084,0.63691,0.69141
354,colonia,2,0,9842,-0.001843,0.53619,-6,estable,8,0.73801,0.86346,0.84781,0.85546,0.84746,0.85513,0.82442,0.8398
355,colonia,1,0,6224,0.001369,1.0,0,estable,8,0.60646,0.72996,0.76169,0.75442,0.6989,0.77725,0.63701,0.69183
356,colonia,1,0,3487,0.044811,0.06349,16,estable,8,0.30079,0.5649,0.57512,0.66746,0.65273,0.78573,0.74635,0.64503
357,colonia,1,0,1048,0.017097,0.00198,26,mejora,8,0.31626,0.37855,0.39563,0.39489,0.40258,0.42712,0.43609,0.48126
358,colonia,1,0,2832,0.049089,0.00443,24,mejora,8,0.30021,0.41715,0.57415,0.52014,0.58022,0.65994,0.64463,0.69131
359,colonia,3,0,1811,0.032259,0.01874,20,mejora,8,0.41006,0.56,0.61853,0.5889,0.59749,0.68372,0.73836,0.64517
